iter	Passed	Remaining
782	3231	895
783	3235	891
784	3239	887
785	3242	882
786	3246	878
787	3250	874
788	3253	870
789	3257	865
790	3260	861
791	3264	857
792	3268	853
793	3271	848
794	3275	844
795	3278	840
796	3282	836
797	3286	831
798	3289	827
799	3293	823
800	3297	819
801	3300	814
802	3304	810
803	3307	806
804	3312	802
805	3316	798
806	3320	794
807	3324	789
808	3327	785
809	3331	781
810	3335	777
811	3338	772
812	3342	768
813	3346	764
814	3349	760
815	3353	756
816	3357	751
817	3360	747
818	3364	743
819	3368	739
820	3372	735
821	3375	731
822	3379	726
823	3382	722
824	3386	718
825	3390	714
826	3393	709
827	3397	705
828	3400	701
829	3404	697
830	3408	693
831	3412	688
832	3415	684
833	3419	680
834	3422	676
835	3426	672
836	3429	667
837	3433	663
838	3436	659
839	3440	655
840	3443	651
841	3447	646
842	3450	642
843	3454	638
844	3457	634
845	3461	630
846	3465	625
847	3468	621
848	3472	617
849	3475	613
850	3479	609
851	3483	605
852	3486	600
853	3490	596
854	3494	592
855	3498	588
856	3501	584
857	3505	580
858	3509	576
859	3515	572
860	3519	568
861	3523	564
862	3527	559
863	3531	555
864	3535	551
865	3539	547
866	3542	543
867	3546	539
868	3549	535
869	3553	530
870	3556	526
871	3560	522
872	3564	518
873	3567	514
874	3571	510
875	3574	506
876	3578	501
877	3582	497
878	3585	493
879	3589	489
880	3593	485
881	3596	481
882	3601	477
883	3605	473
884	3608	468
885	3612	464
886	3615	460
887	3619	456
888	3622	452
889	3626	448
890	3629	444
891	3633	439
892	3637	435
893	3640	431
894	3644	427
895	3648	423
896	3652	419
897	3655	415
898	3659	411
899	3662	406
900	3666	402
901	3669	398
902	3673	394
903	3677	390
904	3680	386
905	3683	382
906	3687	378
907	3691	373
908	3694	369
909	3698	365
910	3702	361
911	3705	357
912	3709	353
913	3713	349
914	3716	345
915	3719	341
916	3723	337
917	3726	332
918	3730	328
919	3733	324
920	3737	320
921	3741	316
922	3744	312
923	3748	308
924	3752	304
925	3756	300
926	3759	296
927	3762	291
928	3766	287
929	3769	283
930	3773	279
931	3776	275
932	3780	271
933	3783	267
934	3787	263
935	3791	259
936	3794	255
937	3798	251
938	3802	246
939	3805	242
940	3809	238
941	3812	234
942	3816	230
943	3819	226
944	3823	222
945	3826	218
946	3830	214
947	3834	210
948	3837	206
949	3841	202
950	3844	198
951	3848	194
952	3852	189
953	3856	185
954	3859	181
955	3863	177
956	3867	173
957	3870	169
958	3874	165
959	3877	161
960	3881	157
961	3885	153
962	3888	149
963	3892	145
964	3896	141
965	3900	137
966	3904	133
967	3908	129
968	3911	125
969	3915	121
970	3919	117
971	3922	113
972	3926	108
973	3929	104
974	3933	100
975	3937	96
976	3941	92
977	3944	88
978	3948	84
979	3951	80
980	3955	76
981	3958	72
982	3962	68
983	3966	64
984	3969	60
985	3973	56
986	3976	52
987	3980	48
988	3984	44
989	3988	40
990	3992	36
991	3996	32
992	4000	28
993	4004	24
994	4007	20
995	4011	16
996	4014	12
997	4018	8
998	4022	4
999	4025	0
